author,250-499,500-749,750-999,<250,>=1000
Andy McNab,1,0,0,0,0
Andy Warhol,1,0,0,0,0
Angela Knight,10,0,0,0,0
Angus Gellatly,0,0,0,1,0
Angus Wells,0,2,0,0,0
Anita Desai,0,0,0,3,0
Anita Diamant,4,0,0,0,0
Anita Shreve,4,0,0,1,0
Anita Thompson,0,0,0,1,0
Ann  O'Leary,0,0,0,1,0
Ann Abramson,0,0,0,1,0
Ann Bausum,0,0,0,1,0
Ann Beattie,2,0,0,0,0
Ann Brashares,2,0,0,0,0
Ann Finding,0,0,0,1,0
Ann Granger,1,0,0,0,0
Ann Hewetson,0,0,0,1,0
Ann Hodgman,0,0,0,1,0
Ann M. Martin,1,0,0,1,0
Ann Major,0,0,0,1,0
Ann Margaret Lewis,0,0,0,1,0
Ann Maxwell,1,0,0,0,0
Ann Packer,2,0,0,0,0
Ann Patchett,3,0,0,0,0
Ann Rinaldi,2,0,0,0,0
Ann Romines,1,0,0,0,0
Ann Rule,1,1,0,0,0
Ann Thwaite,1,0,0,0,0
Ann-Marie MacDonald,0,1,1,0,0
Anna Deavere Smith,0,0,0,1,0
Anna J.,1,0,0,0,0
Anna Maxted,2,1,0,2,0
Anna Quindlen,1,0,0,0,0
Anna Sewell,0,0,0,3,0
Annalee Allen,0,0,0,1,0
Anne Brontë,0,0,0,1,0
Anne Carson,1,0,0,0,0
Anne Chisholm,1,0,0,0,0
Anne Easter Smith,0,1,0,0,0
Anne Fadiman,1,0,0,0,0
Anne Hoppus,0,0,0,1,0
Anne K. Mellor,1,0,0,0,0
Anne Lamott,3,0,0,1,0
Anne Macdonald,0,1,0,0,0
Anne Mazer,0,0,0,7,0
Anne McCaffrey,4,0,0,5,0
Anne Michaels,1,0,0,0,0
Anne Millard,0,0,0,1,0
Anne Moody,1,0,0,0,0
Anne Morrow Lindbergh,0,0,0,1,0
Anne Rampling,1,0,0,0,0
Anne Rice,14,5,1,2,1
Anne Stuart,10,0,0,0,0
Anne Tyler,9,0,0,1,0
Annie Dillard,2,1,0,3,0
Annie Proulx,2,0,0,3,0
Anonymous,1,2,0,6,1
Ansel Adams,1,0,0,2,0
Anthony  Lewis,1,0,0,0,0
Anthony Bourdain,5,0,0,0,0
Anthony Burgess,2,1,0,5,0
Anthony D. Pellegrini,1,0,0,0,0
Anthony E. Wolf,1,0,0,1,0
Anthony F.C. Wallace,1,0,0,0,0
Anthony Grafton,1,0,0,0,0
Anthony Hern,0,0,0,1,0
Anthony J. Cascardi,1,0,0,0,0
Anthony Kenny,1,0,0,0,0
Anthony Kiedis,1,0,0,0,0
Anthony Loyd,2,0,0,0,0
Anthony Mcreavy,1,0,0,0,0
Anthony Minghella,0,0,0,1,0
Anthony Powell,0,3,1,0,0
Anthony Robbins,1,0,0,0,0
Anthony Shadid,0,1,0,0,0
Anthony Thorlby,0,0,1,1,0
Antoine de Saint-Exupéry,0,0,0,2,0
Anton Chekhov,4,2,0,1,1
Anton Myrer,0,2,0,0,0
Antonia Fraser,1,3,0,0,0
Antonia Juhasz,1,0,0,0,0
Antonin Artaud,1,0,0,0,0
Antonio Gramsci,0,0,0,1,0
Antonio Negri,2,0,0,0,0
Antony Beevor,3,0,0,0,0
Antony Johnston,0,0,0,1,0
Anya Seton,2,2,0,0,0
Apollodorus,5,0,0,0,0
April Jones Prince,0,0,0,1,0
